Hugo_Symbol	penetrance	Proposed_level	num_samples	somatic_driver_rate	pathogenic_germline_rate	percent_biallelic
RPS6KB2	Uncertain	Esophagogastric Cancer	429	0	0.0023	0
RUNX1	High	Esophagogastric Cancer	429	0.0047	0.0023	0
SHQ1	Uncertain	Esophagogastric Cancer	429	0	0.0023	0
STK11	High	Esophagogastric Cancer	429	0.021	0.0023	NA
TP53	High	Esophagogastric Cancer	429	0.6667	0.0023	1
VHL	High,Uncertain	Esophagogastric Cancer	429	0	0.0047	0
APC	Low,High	Gastrointestinal Neuroendocrine Tumors	85	0.1412	0.0235	1
BLM	Uncertain	Gastrointestinal Neuroendocrine Tumors	85	0	0.0235	0
BRCA2	High	Gastrointestinal Neuroendocrine Tumors	85	0.0118	0.0235	0.5
CHEK2	Moderate,Uncertain	Gastrointestinal Neuroendocrine Tumors	85	0	0.0118	0
MITF	Moderate	Gastrointestinal Neuroendocrine Tumors	85	0	0.0118	0
RPS6KB2	Uncertain	Gastrointestinal Neuroendocrine Tumors	85	0	0.0118	1
DNAJB1	Uncertain	Gastrointestinal Stromal Tumor	190	0	0.0053	0
HIST1H3D	Uncertain	Gastrointestinal Stromal Tumor	190	0	0.0053	0
HOXB13	Moderate	Gastrointestinal Stromal Tumor	190	0	0.0053	0
APC	Low,High	Gastrointestinal Stromal Tumor	211	0	0.0047	0
BRCA2	High	Gastrointestinal Stromal Tumor	211	0	0.0142	0.333
CHEK2	Moderate,Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	1
ERCC2	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	0
ERCC3	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	0
FANCA	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	0
FANCC	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	0
HIST1H1C	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	0
KMT2C	Uncertain	Gastrointestinal Stromal Tumor	211	0.0047	0.0047	0
MAP3K1	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	0
MDC1	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	1
MUTYH	Low	Gastrointestinal Stromal Tumor	211	0	0.0142	0
NF1	High	Gastrointestinal Stromal Tumor	211	0.0474	0.0332	1
NKX3-1	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	0
NSD1	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	0
PIK3C2G	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	0
PMS1	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	0
RAD54L	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0047	0
SDHA	High	Gastrointestinal Stromal Tumor	211	0.0047	0.0284	0.8
SDHB	High	Gastrointestinal Stromal Tumor	211	0	0.0142	1
SHQ1	Uncertain	Gastrointestinal Stromal Tumor	211	0	0.0142	0
APC	Low,High	Germ Cell Tumor	367	0.0027	0.0109	0.333
ARID2	Uncertain	Germ Cell Tumor	367	0.0027	0.0027	0
ATM	Moderate	Germ Cell Tumor	367	0.0054	0.0109	0.25
AXIN1	Uncertain	Germ Cell Tumor	367	0.0054	0.0027	0
BARD1	Uncertain	Germ Cell Tumor	367	0	0.0027	1
BRCA1	High	Germ Cell Tumor	367	0	0.0054	0
BRCA2	High	Germ Cell Tumor	367	0	0.0027	0
BRIP1	Moderate	Germ Cell Tumor	367	0.0027	0.0027	0
CHEK2	Moderate,Uncertain	Germ Cell Tumor	367	0	0.0163	0.5
ERCC3	Uncertain	Germ Cell Tumor	367	0	0.0027	0
FAT1	Uncertain	Germ Cell Tumor	367	0.0082	0.0027	0
FGFR2	Uncertain	Germ Cell Tumor	367	0.0027	0.0027	0
FH	Uncertain,High	Germ Cell Tumor	367	0	0.0027	0
MSH2	High	Germ Cell Tumor	367	0	0.0027	1
MUTYH	Low	Germ Cell Tumor	367	0	0.0136	0.6
NOTCH4	Uncertain	Germ Cell Tumor	367	0	0.0054	0
PALB2	High	Germ Cell Tumor	367	0	0.0054	0.5
PIK3C2G	Uncertain	Germ Cell Tumor	367	0	0.0027	0
PMS1	Uncertain	Germ Cell Tumor	367	0	0.0027	0
PMS2	High	Germ Cell Tumor	367	0	0.0027	0
PTEN	High	Germ Cell Tumor	367	0.0327	0.0027	1
PTPRT	Uncertain	Germ Cell Tumor	367	0	0.0027	NA
RAD51B	Uncertain	Germ Cell Tumor	367	0	0.0027	1
RAD54L	Uncertain	Germ Cell Tumor	367	0	0.0027	0
RECQL4	Uncertain	Germ Cell Tumor	367	0	0.0054	0.5
SDHA	High	Germ Cell Tumor	367	0	0.0027	0
SETD2	Uncertain	Germ Cell Tumor	367	0.0027	0.0054	1
SHQ1	Uncertain	Germ Cell Tumor	367	0	0.0054	0
GPS2	Uncertain	Head and Neck Cancer	235	0	0.0043	1
HIST1H3A	Uncertain	Head and Neck Cancer	235	0	0.0043	0
APC	Low,High	Head and Neck Cancer	279	0.0036	0.0251	0
BRCA1	High	Head and Neck Cancer	279	0.0072	0.0036	0
BRCA2	High	Head and Neck Cancer	279	0.0036	0.0143	0.25
BRIP1	Moderate	Head and Neck Cancer	279	0.0287	0.0036	NA
CHEK2	Moderate,Uncertain	Head and Neck Cancer	279	0	0.0179	0.2
DIS3	Uncertain	Head and Neck Cancer	279	0	0.0072	0
ERCC3	Uncertain	Head and Neck Cancer	279	0	0.0036	0
FAM175A	Uncertain	Head and Neck Cancer	279	0	0.0036	0
FANCA	Uncertain	Head and Neck Cancer	279	0.0036	0.0036	1
FANCC	Uncertain	Head and Neck Cancer	279	0	0.0036	0
FH	Uncertain,High	Head and Neck Cancer	279	0	0.0036	0
KMT2C	Uncertain	Head and Neck Cancer	279	0.0502	0.0036	NA
MAP3K1	Uncertain	Head and Neck Cancer	279	0.0108	0.0036	0
MDC1	Uncertain	Head and Neck Cancer	279	0	0.0036	1
MITF	Moderate	Head and Neck Cancer	279	0	0.0108	0.667
MUTYH	Low	Head and Neck Cancer	279	0	0.0108	0.5
NBN	Moderate	Head and Neck Cancer	279	0	0.0072	0
NOTCH4	Uncertain	Head and Neck Cancer	279	0	0.0036	0
PMS2	High	Head and Neck Cancer	279	0.0036	0.0036	0
PTPRS	Uncertain	Head and Neck Cancer	279	0.0036	0.0072	0
RAD50	Uncertain	Head and Neck Cancer	279	0.0036	0.0036	0
RAD54L	Uncertain	Head and Neck Cancer	279	0	0.0036	0
RET	High	Head and Neck Cancer	279	0.0036	0.0036	0
ROS1	Uncertain	Head and Neck Cancer	279	0	0.0036	NA
RPS6KB2	Uncertain	Head and Neck Cancer	279	0	0.0036	1
SHQ1	Uncertain	Head and Neck Cancer	279	0	0.0072	0
TSC2	High	Head and Neck Cancer	279	0.0072	0.0036	0
ERRFI1	Uncertain	Invasive Breast Carcinoma	2073	0.0014	5e-04	NA
HIST3H3	Uncertain	Invasive Breast Carcinoma	2073	0	5e-04	0
HOXB13	Moderate	Invasive Breast Carcinoma	2073	0	0.001	0
XRCC2	Uncertain	Invasive Breast Carcinoma	2073	0	5e-04	1
ALOX12B	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	0
AMER1	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	0
APC	Low,High	Invasive Breast Carcinoma	2422	0.0041	0.0111	0.192
ARID1A	Uncertain	Invasive Breast Carcinoma	2422	0.0458	4e-04	NA
ARID2	Uncertain	Invasive Breast Carcinoma	2422	0.0078	4e-04	0
ARID5B	Uncertain	Invasive Breast Carcinoma	2422	8e-04	4e-04	0
ASXL2	Uncertain	Invasive Breast Carcinoma	2422	0.0045	4e-04	0
ATM	Moderate	Invasive Breast Carcinoma	2422	0.0343	0.012	0.808
ATR	Uncertain	Invasive Breast Carcinoma	2422	0.0025	8e-04	0
BAP1	High	Invasive Breast Carcinoma	2422	0.0037	4e-04	1
BARD1	Uncertain	Invasive Breast Carcinoma	2422	0.0012	0.0012	1
BBC3	Uncertain	Invasive Breast Carcinoma	2422	0	8e-04	0
BLM	Uncertain	Invasive Breast Carcinoma	2422	0	0.0025	0.167
BRCA1	High	Invasive Breast Carcinoma	2422	0.0091	0.0215	0.889
BRCA2	High	Invasive Breast Carcinoma	2422	0.0103	0.0277	0.862
BRIP1	Moderate	Invasive Breast Carcinoma	2422	0.0153	0.0021	0.25
CASP8	Uncertain	Invasive Breast Carcinoma	2422	4e-04	4e-04	NA
CBL	Uncertain	Invasive Breast Carcinoma	2422	0.0012	4e-04	NA
CDC73	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	0
CDH1	High	Invasive Breast Carcinoma	2422	0.1317	8e-04	0.5
CHEK1	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	0
CHEK2	Moderate,Uncertain	Invasive Breast Carcinoma	2422	0	0.0231	0.612
CTCF	Uncertain	Invasive Breast Carcinoma	2422	0.0083	4e-04	1
DIS3	Uncertain	Invasive Breast Carcinoma	2422	4e-04	0.0021	0.25
DNMT3A	Uncertain	Invasive Breast Carcinoma	2422	0.0041	4e-04	0
EPCAM	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	0
EPHA3	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	0
ERCC2	Uncertain	Invasive Breast Carcinoma	2422	4e-04	0.0033	0.143
ERCC3	Uncertain	Invasive Breast Carcinoma	2422	8e-04	0.0041	0.111
ERCC4	Uncertain	Invasive Breast Carcinoma	2422	0.0012	8e-04	0
ERCC5	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	1
FAM175A	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	0
FANCA	Uncertain	Invasive Breast Carcinoma	2422	0.0012	0.0041	0.2
FANCC	Uncertain	Invasive Breast Carcinoma	2422	4e-04	0.0041	0.222
FAT1	Uncertain	Invasive Breast Carcinoma	2422	0.0058	0.0012	0
FH	Uncertain,High	Invasive Breast Carcinoma	2422	0	0.0041	0
FLCN	High	Invasive Breast Carcinoma	2422	0	4e-04	0
H3F3C	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	NA
IFNGR1	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	0
JAK3	Uncertain	Invasive Breast Carcinoma	2422	0	8e-04	0
LATS1	Uncertain	Invasive Breast Carcinoma	2422	0.0017	8e-04	0.5
MAP3K1	Uncertain	Invasive Breast Carcinoma	2422	0.0731	4e-04	0
MAP3K13	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	1
MDC1	Uncertain	Invasive Breast Carcinoma	2422	0	4e-04	0
MLH1	High	Invasive Breast Carcinoma	2422	0.0012	4e-04	0
MRE11A	Uncertain	Invasive Breast Carcinoma	2422	0	0.0012	0
MSH6	High	Invasive Breast Carcinoma	2422	0.0017	0.0017	0.25
MUTYH	Low	Invasive Breast Carcinoma	2422	0	0.0153	0.176
NBN	Moderate	Invasive Breast Carcinoma	2422	0	0.0012	0
NCOR1	Uncertain	Invasive Breast Carcinoma	2422	0.0297	4e-04	1
NF1	High	Invasive Breast Carcinoma	2422	0.0301	8e-04	0
NOTCH3	Uncertain	Invasive Breast Carcinoma	2422	0	0.0017	0
NOTCH4	Uncertain	Invasive Breast Carcinoma	2422	0	0.0017	0.25
PALB2	High	Invasive Breast Carcinoma	2422	0	0.0041	0.778
PARK2	Uncertain	Invasive Breast Carcinoma	2422	0	0.0021	0.5
PIK3C2G	Uncertain	Invasive Breast Carcinoma	2422	0	0.0062	0.133
PIK3R3	Uncertain	Invasive Breast Carcinoma	2422	0.0017	8e-04	0.5
PMS1	Uncertain	Invasive Breast Carcinoma	2422	0	0.0021	0
PMS2	High	Invasive Breast Carcinoma	2422	4e-04	0.0017	0
PRDM1	Uncertain	Invasive Breast Carcinoma	2422	8e-04	4e-04	0
PTEN	High	Invasive Breast Carcinoma	2422	0.0599	4e-04	1
PTPRT	Uncertain	Invasive Breast Carcinoma	2422	0.0029	8e-04	0
RAD50	Uncertain	Invasive Breast Carcinoma	2422	0	0.0012	0
RAD51B	Uncertain	Invasive Breast Carcinoma	2422	0	8e-04	1
RAD51C	Moderate	Invasive Breast Carcinoma	2422	0.0017	0.0012	1
RAD51D	Moderate	Invasive Breast Carcinoma	2422	0	4e-04	0
RAD54L	Uncertain	Invasive Breast Carcinoma	2422	0	0.0012	0.5
RASA1	Uncertain	Invasive Breast Carcinoma	2422	0.0017	4e-04	0
RECQL4	Uncertain	Invasive Breast Carcinoma	2422	0	0.005	0.182
RPS6KB2	Uncertain	Invasive Breast Carcinoma	2422	0	0.0021	0
SDHA	High	Invasive Breast Carcinoma	2422	0	4e-04	0
SDHAF2	High	Invasive Breast Carcinoma	2422	0	4e-04	0
SDHD	High	Invasive Breast Carcinoma	2422	0	4e-04	0
SETD2	Uncertain	Invasive Breast Carcinoma	2422	0.0074	4e-04	1
SHQ1	Uncertain	Invasive Breast Carcinoma	2422	4e-04	0.0017	0.25
TP53	High	Invasive Breast Carcinoma	2422	0.391	0.0025	1
TSC2	High	Invasive Breast Carcinoma	2422	0.0017	4e-04	NA
TSHR	Uncertain	Invasive Breast Carcinoma	2422	0	8e-04	0.5
VHL	High,Uncertain	Invasive Breast Carcinoma	2422	0.0012	4e-04	NA
APC	Low,High	Lung Neuroendocrine Tumor	97	0.0206	0.0206	0
ARID1B	Uncertain	Lung Neuroendocrine Tumor	97	0.0103	0.0103	0
BRIP1	Moderate	Lung Neuroendocrine Tumor	97	0.0309	0.0103	0
CHEK2	Moderate,Uncertain	Lung Neuroendocrine Tumor	97	0	0.0103	0
ERCC3	Uncertain	Lung Neuroendocrine Tumor	97	0	0.0309	0.667
FANCC	Uncertain	Lung Neuroendocrine Tumor	97	0	0.0103	0
IFNGR1	Uncertain	Lung Neuroendocrine Tumor	97	0	0.0103	0
KLF4	Uncertain	Lung Neuroendocrine Tumor	97	0	0.0103	0
MEN1	High	Lung Neuroendocrine Tumor	97	0.1031	0.0206	1
MUTYH	Low	Lung Neuroendocrine Tumor	97	0	0.0103	0
PIK3C2G	Uncertain	Lung Neuroendocrine Tumor	97	0	0.0103	NA
TSC1	High	Lung Neuroendocrine Tumor	97	0.0103	0.0103	0
VHL	High,Uncertain	Lung Neuroendocrine Tumor	97	0.0103	0.0103	1
TCF7L2	Uncertain	Mesothelioma	133	0.0075	0.0075	NA
APC	Low,High	Mesothelioma	172	0	0.0291	0.4
ATM	Moderate	Mesothelioma	172	0.0233	0.0058	0
BAP1	High	Mesothelioma	172	0.3023	0.0349	1
BARD1	Uncertain	Mesothelioma	172	0	0.0058	1
BLM	Uncertain	Mesothelioma	172	0	0.0058	NA
BRCA2	High	Mesothelioma	172	0	0.0291	0.75
DIS3	Uncertain	Mesothelioma	172	0	0.0058	0
ERCC5	Uncertain	Mesothelioma	172	0	0.0058	0
FANCC	Uncertain	Mesothelioma	172	0	0.0116	0
FH	Uncertain,High	Mesothelioma	172	0	0.0058	0
MITF	Moderate	Mesothelioma	172	0	0.0058	0
MSH6	High	Mesothelioma	172	0	0.0058	1
MUTYH	Low	Mesothelioma	172	0	0.0116	0
PARK2	Uncertain	Mesothelioma	172	0	0.0058	NA
PIK3C2G	Uncertain	Mesothelioma	172	0	0.0058	0
RECQL4	Uncertain	Mesothelioma	172	0	0.0058	NA
SHQ1	Uncertain	Mesothelioma	172	0	0.0058	NA
TET2	Uncertain	Mesothelioma	172	0	0.0058	0
APC	Low,High	Nerve Sheath Tumor	33	0	0.0303	0
BARD1	Uncertain	Nerve Sheath Tumor	33	0	0.0303	0
MUTYH	Low	Nerve Sheath Tumor	33	0	0.0606	0
NF1	High	Nerve Sheath Tumor	33	0.1818	0.2121	0.8
PMS1	Uncertain	Nerve Sheath Tumor	33	0	0.0303	0
APC	Low,High	Non Glioma CNS Cancers	71	0	0.0423	0
CHEK2	Moderate,Uncertain	Non Glioma CNS Cancers	71	0	0.0141	NA
MUTYH	Low	Non Glioma CNS Cancers	71	0	0.0282	0.5
NOTCH4	Uncertain	Non Glioma CNS Cancers	71	0	0.0141	0
RAD54L	Uncertain	Non Glioma CNS Cancers	71	0	0.0141	0
RB1	High	Non Glioma CNS Cancers	71	0	0.0141	0
RPS6KB2	Uncertain	Non Glioma CNS Cancers	71	0	0.0141	0
TCF7L2	Uncertain	Non-Cholangio Hepatobiliary Cancer	198	0.0051	0.0051	0
APC	Low,High	Non-Cholangio Hepatobiliary Cancer	236	0.0169	0.0085	1
ATM	Moderate	Non-Cholangio Hepatobiliary Cancer	236	0.0678	0.0042	0
BAP1	High	Non-Cholangio Hepatobiliary Cancer	236	0.0212	0.0042	0
BRCA2	High	Non-Cholangio Hepatobiliary Cancer	236	0.0042	0.0127	0
BRIP1	Moderate	Non-Cholangio Hepatobiliary Cancer	236	0.0212	0.0042	0
CASP8	Uncertain	Non-Cholangio Hepatobiliary Cancer	236	0.0085	0.0042	0
CHEK2	Moderate,Uncertain	Non-Cholangio Hepatobiliary Cancer	236	0	0.0127	0
ERCC3	Uncertain	Non-Cholangio Hepatobiliary Cancer	236	0.0042	0.0085	0
ERCC4	Uncertain	Non-Cholangio Hepatobiliary Cancer	236	0	0.0085	0
FAT1	Uncertain	Non-Cholangio Hepatobiliary Cancer	236	0.0042	0.0042	0
MEN1	High	Non-Cholangio Hepatobiliary Cancer	236	0.0085	0.0042	1
MSH2	High	Non-Cholangio Hepatobiliary Cancer	236	0.0085	0.0042	1
MUTYH	Low	Non-Cholangio Hepatobiliary Cancer	236	0	0.0127	0
NBN	Moderate	Non-Cholangio Hepatobiliary Cancer	236	0	0.0042	1
PIK3C2G	Uncertain	Non-Cholangio Hepatobiliary Cancer	236	0	0.0169	0
RAD50	Uncertain	Non-Cholangio Hepatobiliary Cancer	236	0.0042	0.0042	1
RAD51C	Moderate	Non-Cholangio Hepatobiliary Cancer	236	0	0.0042	0
RECQL4	Uncertain	Non-Cholangio Hepatobiliary Cancer	236	0	0.0042	0
RUNX1	High	Non-Cholangio Hepatobiliary Cancer	236	0	0.0042	0
SDHA	High	Non-Cholangio Hepatobiliary Cancer	236	0	0.0042	NA
XRCC2	Uncertain	Non-cutaneous Melanoma	175	0	0.0057	NA
ALOX12B	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	0
APC	Low,High	Non-cutaneous Melanoma	197	0.0051	0.0102	0
ATM	Moderate	Non-cutaneous Melanoma	197	0.0355	0.0102	1
BAP1	High	Non-cutaneous Melanoma	197	0.0964	0.0102	0
BRIP1	Moderate	Non-cutaneous Melanoma	197	0.0203	0.0051	0
CDH1	High	Non-cutaneous Melanoma	197	0	0.0051	0
CHEK2	Moderate,Uncertain	Non-cutaneous Melanoma	197	0	0.0254	0
ERCC2	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	0
ERCC3	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	0
ERCC5	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	0
FANCC	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	0
JAK3	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	0
MITF	Moderate	Non-cutaneous Melanoma	197	0	0.0051	NA
MUTYH	Low	Non-cutaneous Melanoma	197	0	0.0305	0.2
NBN	Moderate	Non-cutaneous Melanoma	197	0	0.0051	0
NOTCH1	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	0
NOTCH3	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	0
PALB2	High	Non-cutaneous Melanoma	197	0	0.0102	0
PMS1	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	0
RAD50	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	0
RAD52	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	0
RAD54L	Uncertain	Non-cutaneous Melanoma	197	0	0.0051	NA
RECQL4	Uncertain	Non-cutaneous Melanoma	197	0	0.0152	0
HIST1H3H	Uncertain	Non-Small Cell Lung Cancer	2143	0	5e-04	0
HOXB13	Moderate	Non-Small Cell Lung Cancer	2143	0	0.0014	0.333
MGA	Uncertain	Non-Small Cell Lung Cancer	2143	0.0261	5e-04	0
MST1	Uncertain	Non-Small Cell Lung Cancer	2143	0	9e-04	NA
SH2B3	Uncertain	Non-Small Cell Lung Cancer	2143	0	5e-04	NA
TCF7L2	Uncertain	Non-Small Cell Lung Cancer	2143	0	5e-04	0
XRCC2	Uncertain	Non-Small Cell Lung Cancer	2143	0	0.0014	0.333
ALOX12B	Uncertain	Non-Small Cell Lung Cancer	2463	0	4e-04	1
APC	Low,High	Non-Small Cell Lung Cancer	2463	0.0211	0.0175	0.211
ASXL1	Uncertain	Non-Small Cell Lung Cancer	2463	0.0041	4e-04	NA
ATM	Moderate	Non-Small Cell Lung Cancer	2463	0.0715	0.0037	0.625
ATR	Uncertain	Non-Small Cell Lung Cancer	2463	0.0069	0.0016	0.25
BAP1	High	Non-Small Cell Lung Cancer	2463	0.0073	0.0016	1
BARD1	Uncertain	Non-Small Cell Lung Cancer	2463	0.002	4e-04	1
BLM	Uncertain	Non-Small Cell Lung Cancer	2463	0	0.0024	0
BRCA1	High	Non-Small Cell Lung Cancer	2463	0.0057	0.0069	0.286
BRCA2	High	Non-Small Cell Lung Cancer	2463	0.011	0.0106	0.5
BRIP1	Moderate	Non-Small Cell Lung Cancer	2463	0.0248	8e-04	0.5
CASP8	Uncertain	Non-Small Cell Lung Cancer	2463	0.0032	0.0012	0.5
CBL	Uncertain	Non-Small Cell Lung Cancer	2463	0.0045	4e-04	0
CHEK2	Moderate,Uncertain	Non-Small Cell Lung Cancer	2463	0.0012	0.0138	0.355
DIS3	Uncertain	Non-Small Cell Lung Cancer	2463	0.0041	0.0012	0
DNMT3A	Uncertain	Non-Small Cell Lung Cancer	2463	0.0065	4e-04	0
EPCAM	Uncertain	Non-Small Cell Lung Cancer	2463	0	4e-04	0
ERCC2	Uncertain	Non-Small Cell Lung Cancer	2463	0	0.0016	0.25
ERCC3	Uncertain	Non-Small Cell Lung Cancer	2463	0.0016	0.0057	0.083
FAM175A	Uncertain	Non-Small Cell Lung Cancer	2463	0	0.0016	0
FANCA	Uncertain	Non-Small Cell Lung Cancer	2463	0.0028	0.0041	0.333
FANCC	Uncertain	Non-Small Cell Lung Cancer	2463	4e-04	0.0037	0.375
FAT1	Uncertain	Non-Small Cell Lung Cancer	2463	0.0207	0.0016	0
FH	Uncertain,High	Non-Small Cell Lung Cancer	2463	0	0.0041	0.375
FLCN	High	Non-Small Cell Lung Cancer	2463	0	8e-04	0
HNF1A	Uncertain	Non-Small Cell Lung Cancer	2463	0.0016	4e-04	NA
IFNGR1	Uncertain	Non-Small Cell Lung Cancer	2463	0	8e-04	0
INPP4A	Uncertain	Non-Small Cell Lung Cancer	2463	0	4e-04	0
JAK3	Uncertain	Non-Small Cell Lung Cancer	2463	0	8e-04	0
KMT2A	Uncertain	Non-Small Cell Lung Cancer	2463	0.0016	4e-04	NA
MAP3K13	Uncertain	Non-Small Cell Lung Cancer	2463	0	4e-04	0
MDC1	Uncertain	Non-Small Cell Lung Cancer	2463	0	8e-04	0
MITF	Moderate	Non-Small Cell Lung Cancer	2463	0	0.0037	0.5
MRE11A	Uncertain	Non-Small Cell Lung Cancer	2463	0	0.0012	0
MSH2	High	Non-Small Cell Lung Cancer	2463	0.0037	4e-04	NA
MSH6	High	Non-Small Cell Lung Cancer	2463	0.0032	0.0012	0
MUTYH	Low	Non-Small Cell Lung Cancer	2463	0	0.0122	0.148
NBN	Moderate	Non-Small Cell Lung Cancer	2463	0	0.0024	0.2
NCOR1	Uncertain	Non-Small Cell Lung Cancer	2463	0.0045	4e-04	0
NOTCH3	Uncertain	Non-Small Cell Lung Cancer	2463	0	8e-04	0.5
NOTCH4	Uncertain	Non-Small Cell Lung Cancer	2463	0	0.0012	0
NSD1	Uncertain	Non-Small Cell Lung Cancer	2463	0	4e-04	0
PALB2	High	Non-Small Cell Lung Cancer	2463	4e-04	0.0016	0
PARK2	Uncertain	Non-Small Cell Lung Cancer	2463	0	0.0024	0.2
PBRM1	Uncertain	Non-Small Cell Lung Cancer	2463	0.0162	4e-04	0
PIK3C2G	Uncertain	Non-Small Cell Lung Cancer	2463	0	0.0077	0.278
PIK3R1	Uncertain	Non-Small Cell Lung Cancer	2463	0.0077	4e-04	0
PIK3R3	Uncertain	Non-Small Cell Lung Cancer	2463	0.0024	8e-04	0
PMS1	Uncertain	Non-Small Cell Lung Cancer	2463	0	8e-04	0.5
PMS2	High	Non-Small Cell Lung Cancer	2463	0.0037	8e-04	0
PRDM1	Uncertain	Non-Small Cell Lung Cancer	2463	8e-04	0.0012	0.5
PTEN	High	Non-Small Cell Lung Cancer	2463	0.0252	4e-04	NA
PTPRS	Uncertain	Non-Small Cell Lung Cancer	2463	0	4e-04	0
RAD50	Uncertain	Non-Small Cell Lung Cancer	2463	0.0037	0.0032	0.571
RAD51B	Uncertain	Non-Small Cell Lung Cancer	2463	0	8e-04	0
RAD51C	Moderate	Non-Small Cell Lung Cancer	2463	4e-04	8e-04	0
RAD51D	Moderate	Non-Small Cell Lung Cancer	2463	8e-04	8e-04	0
RAD52	Uncertain	Non-Small Cell Lung Cancer	2463	0	4e-04	0
RAD54L	Uncertain	Non-Small Cell Lung Cancer	2463	0	0.0016	0
RASA1	Uncertain	Non-Small Cell Lung Cancer	2463	0.0134	4e-04	1
RECQL4	Uncertain	Non-Small Cell Lung Cancer	2463	0	0.0053	0.273
RPS6KB2	Uncertain	Non-Small Cell Lung Cancer	2463	0	8e-04	0
SDHA	High	Non-Small Cell Lung Cancer	2463	0	4e-04	1
SDHAF2	High	Non-Small Cell Lung Cancer	2463	8e-04	4e-04	0
SHQ1	Uncertain	Non-Small Cell Lung Cancer	2463	8e-04	0.0032	0
SMARCA4	High	Non-Small Cell Lung Cancer	2463	0.0455	4e-04	0
TET2	Uncertain	Non-Small Cell Lung Cancer	2463	0.0069	8e-04	0.5
TP53	High	Non-Small Cell Lung Cancer	2463	0.5416	0.002	1
TSC2	High	Non-Small Cell Lung Cancer	2463	0.0057	8e-04	0
HIST1H3A	Uncertain	Other	444	0	0.0023	1
NUP93	Uncertain	Other	444	0	0.0023	0
APC	Low,High	Other	475	0.0211	0.0126	0.5
ATM	Moderate	Other	475	0.0611	0.0042	0
ATR	Uncertain	Other	475	0.0063	0.0021	0
BRCA1	High	Other	475	0	0.0147	0.4
BRCA2	High	Other	475	0.0147	0.0084	0.333
CHEK2	Moderate,Uncertain	Other	475	0	0.0105	0.2
DNMT3A	Uncertain	Other	475	0.0126	0.0021	0
EPCAM	Uncertain	Other	475	0	0.0021	NA
ERCC2	Uncertain	Other	475	0	0.0042	1
ERCC5	Uncertain	Other	475	0	0.0042	0
FANCA	Uncertain	Other	475	0	0.0042	0
FANCC	Uncertain	Other	475	0	0.0063	0
MAP3K13	Uncertain	Other	475	0	0.0021	0
MDC1	Uncertain	Other	475	0	0.0021	0
MITF	Moderate	Other	475	0	0.0063	0.5
MLH1	High	Other	475	0.0063	0.0021	1
MRE11A	Uncertain	Other	475	0	0.0021	0
MSH2	High	Other	475	0	0.0042	0.5
MUTYH	Low	Other	475	0	0.0126	0.5
NOTCH4	Uncertain	Other	475	0	0.0042	0
PALB2	High	Other	475	0	0.0021	NA
PARK2	Uncertain	Other	475	0	0.0021	1
PIK3C2G	Uncertain	Other	475	0	0.0021	0
PMS1	Uncertain	Other	475	0	0.0021	0
RAD50	Uncertain	Other	475	0	0.0021	NA
RAD51B	Uncertain	Other	475	0	0.0021	0
RAD54L	Uncertain	Other	475	0	0.0021	0
RPS6KB2	Uncertain	Other	475	0	0.0021	0
SDHB	High	Other	475	0	0.0105	1
SDHC	High	Other	475	0	0.0021	0
TET2	Uncertain	Other	475	0.0211	0.0042	NA
TP53	High	Other	475	0.2632	0.0042	1
